combo_id,first_omega_0,hidden_omega_0,final_step,train_mse_raw_minus1_1,full_mse_raw_minus1_1,mse,psnr,rmse,mae,max_abs,p95_abs,p99_abs,bias,output_dir
0,60.0,5.0,10000,0.000715570873580873,0.0007152615580707788,0.00017873046454042196,37.47801415853835,0.01336901169270277,0.008218170143663883,0.1145276129245758,0.030715089291334152,0.05066949129104614,0.00025721456040628254,omega_sweep_hidden_only_512_60_90/combo000_f60p0_h5p0
1,60.0,10.0,10000,0.00023853854509070516,0.00022361447918228805,5.589387728832662e-05,42.52635762874359,0.007476220838725567,0.005511038471013308,0.09243780374526978,0.015039520338177681,0.023753665387630463,-0.0022734380327165127,omega_sweep_hidden_only_512_60_90/combo001_f60p0_h10p0
2,60.0,15.0,10000,0.00011252780677750707,0.00011748094402719289,2.9362130590016022e-05,45.3221243411308,0.005418683402240276,0.0040210820734500885,0.05440473556518555,0.010868500918149948,0.016919521614909172,-0.0006957388250157237,omega_sweep_hidden_only_512_60_90/combo002_f60p0_h15p0
3,60.0,20.0,10000,7.622354314662516e-05,7.898747571744025e-05,1.9739425624720752e-05,47.04665488527755,0.004442907404154539,0.003297708462923765,0.03771650791168213,0.008903732523322105,0.01390452403575182,-7.522339728893712e-05,omega_sweep_hidden_only_512_60_90/combo003_f60p0_h20p0
4,60.0,30.0,10000,5.7658791774883866e-05,4.8133333621080965e-05,1.2030097423121333e-05,49.19730855606731,0.0034684431739151478,0.0026108394376933575,0.04747527837753296,0.0068688057363033295,0.01042528823018074,0.0002318811893928796,omega_sweep_hidden_only_512_60_90/combo004_f60p0_h30p0
5,60.0,45.0,10000,4.274756429367699e-05,4.60824157926254e-05,1.1519179679453373e-05,49.38578447420773,0.003393991617485881,0.002581992419436574,0.031013011932373047,0.006711150519549847,0.00999171007424593,-0.00010804660269059241,omega_sweep_hidden_only_512_60_90/combo005_f60p0_h45p0
6,60.0,60.0,10000,6.564336945302784e-05,6.680053775198758e-05,1.6688583855284378e-05,47.77580514724552,0.00408516637980938,0.002980263205245137,0.04688626527786255,0.008059661835432053,0.013304611667990685,-0.00079756771447137,omega_sweep_hidden_only_512_60_90/combo006_f60p0_h60p0
7,60.0,90.0,10000,0.00010973495955113322,0.0001143820263678208,2.8579093850567006e-05,45.43951545381904,0.005345941986888647,0.004023781046271324,0.06408783793449402,0.010300567373633385,0.015918608754873276,-0.0011499010724946856,omega_sweep_hidden_only_512_60_90/combo007_f60p0_h90p0
8,90.0,5.0,10000,0.00036321982042863965,0.00036427166196517646,9.101296018343419e-05,40.408967600373565,0.009540071710944176,0.006499495357275009,0.10516053438186646,0.02073952741920948,0.034022994339466095,0.0007602836703881621,omega_sweep_hidden_only_512_60_90/combo008_f90p0_h5p0
9,90.0,10.0,10000,0.00011409867875045165,0.00011119741247966886,2.778946145554073e-05,45.56119869528969,0.005271571222692728,0.00390965212136507,0.043095290660858154,0.010537674650549889,0.016829796135425568,-0.0003854393435176462,omega_sweep_hidden_only_512_60_90/combo009_f90p0_h10p0
10,90.0,15.0,10000,5.552851871470921e-05,5.374040483729914e-05,1.3427751582639758e-05,48.719967019255684,0.003664389718323946,0.00279066851362586,0.03595900535583496,0.0072418032214045525,0.010774373076856136,0.00041935592889785767,omega_sweep_hidden_only_512_60_90/combo010_f90p0_h15p0
11,90.0,20.0,10000,7.200185063993558e-05,5.7698009186424315e-05,1.4420263141801115e-05,48.41026814513298,0.0037974021397531033,0.0029310574755072594,0.032067060470581055,0.007519295439124107,0.010805973783135414,-0.0003441544249653816,omega_sweep_hidden_only_512_60_90/combo011_f90p0_h20p0
12,90.0,30.0,10000,0.00025118456687778234,0.00016451854025945067,4.110726877115667e-05,43.86081377440512,0.00641149515286088,0.0049449242651462555,0.04080519080162048,0.012958448380231857,0.018260827288031578,-0.0030895820818841457,omega_sweep_hidden_only_512_60_90/combo012_f90p0_h30p0
13,90.0,45.0,10000,7.624409045092762e-05,9.586941450834274e-05,2.3951872208272107e-05,46.20660534109837,0.0048940652050077915,0.00368985696695745,0.06984511017799377,0.009548530913889408,0.014734935946762562,0.0009328130981884897,omega_sweep_hidden_only_512_60_90/combo013_f90p0_h45p0
14,90.0,60.0,10000,0.00010611311881802976,0.000107352010672912,2.6826841349247843e-05,45.714304590965,0.005179463420063257,0.0037444904446601868,0.04918795824050903,0.010340992361307144,0.01744133047759533,0.0017080396646633744,omega_sweep_hidden_only_512_60_90/combo014_f90p0_h60p0
15,90.0,90.0,10000,3.224893589504063e-05,3.174624725943431e-05,7.933480446808971e-06,51.0053624430454,0.0028166435658931732,0.0021695923060178757,0.02561807632446289,0.005521586164832115,0.008097255602478981,-0.00044904358219355345,omega_sweep_hidden_only_512_60_90/combo015_f90p0_h90p0
